accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKM	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	seq_pool_ID	total_filtered_reads_in_sample
NC_039477.1	7567	6718	1056	20.069166	9.61175	Norovirus GII, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	TC-22-0719	p1552	14519028
NC_039475.1	7556	1587	46	0.9019714	0.419303	Norovirus GII.17, complete genome	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17	TC-22-0719	p1552	14519028
KX868289.2	33676	2716	67	0.28309372	0.13703	Human adenovirus 12 isolate GyK010, complete genome	28282	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 12	Human adenovirus 12	TC-22-0719	p1552	14519028
AM749299.1	33763	5356	109	0.45187873	0.222356	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	TC-22-0719	p1552	14519028
MT505439.1	34777	1499	20	0.08013978	0.0396096	Human adenovirus 11 strain HAdV-B2/USA_GA/8348/2019/P11H11F12, complete genome	10541	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 11	Human adenovirus 11	TC-22-0719	p1552	14519028
AY737797.1	34775	1735	39	0.16358122	0.0772431	Human adenovirus type 34 strain Compton, complete genome	10548	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 34	Human adenovirus 34	TC-22-0719	p1552	14519028
JQ326209.1	35153	4832	138	0.5633517	0.270383	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	TC-22-0719	p1552	14519028
NC_012564.1	5242	3670	137	3.508641	1.80006	Human bocavirus 3, complete genome	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3	TC-22-0719	p1552	14519028
NC_012042.1	5196	2656	198	5.097305	2.62457	Human bocavirus 2c PK isolate PK-5510, complete genome	1511882	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2c PK	Human bocavirus 2c PK	TC-22-0719	p1552	14519028
NC_045512.2	29903	13021	392	1.7935334	0.902888	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	TC-22-0719	p1552	14519028
