accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKM	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	seq_pool_ID	total_filtered_reads_in_sample
KX868289.2	33676	5967	838	3.5177176	3.28398	Human adenovirus 12 isolate GyK010, complete genome	28282	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 12	Human adenovirus 12	NFTLMJ	p1600	7577438
AM749299.1	33763	28009	7273	30.037962	28.4283	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	NFTLMJ	p1600	7577438
KX384958.1	35250	11863	2122	8.473761	7.94445	Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome	45659	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus B3	Human adenovirus B3	NFTLMJ	p1600	7577438
AB448776.1	35215	2406	330	1.4312277	1.2367	Human adenovirus 37 genomic DNA, complete genome, isolate: 1991	52275	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D37	Human adenovirus D37	NFTLMJ	p1600	7577438
NC_012564.1	5242	3651	658	17.148664	16.5656	Human bocavirus 3, complete genome	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3	NFTLMJ	p1600	7577438
NC_045512.2	29903	2780	207	1.0021174	0.913552	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	NFTLMJ	p1600	7577438
KY316160.1	34169	11834	1712	6.9710164	6.61225	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	NFTLMJ	p1600	7577438
L19443.1	34214	3359	355	1.4375	1.36931	Human adenovirus F, complete genome	130309	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	unclassified Human mastadenovirus F subspecies/strain	unclassified Human mastadenovirus F strain	NFTLMJ	p1600	7577438
AB186897.1	2525	1105	138	7.5583158	7.21266	Human picobirnavirus RNA segment 1 genomic RNA, complete sequence	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus	NFTLMJ	p1600	7577438
AB614356.1	7476	4744	848	16.408272	14.9694	Sapovirus Hu/GI.2/BR-DF01/BRA/2009 RNA, complete genome	985691	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	NFTLMJ	p1600	7577438
AB792642.1	1062	1024	2741	419.8805	340.614	Feline rotavirus A VP7 gene for VP7 protein, complete cds, strain: RVA/Cat-tc/JPN/FRV-1/1986/G3P[9]	31564	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Feline rotavirus	Feline rotavirus A	Feline rotavirus A	NFTLMJ	p1600	7577438
AF043303.1	4679	1221	156	4.636785	4.39996	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	NFTLMJ	p1600	7577438
AF260508.1	6759	2810	1301	27.885157	25.4023	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8	NFTLMJ	p1600	7577438
AF368033.1	3854	1781	404	13.86771	13.834	Ndelle virus segment L1, complete sequence	179877	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 4 Ndelle	Mammalian orthoreovirus 4 Ndelle	NFTLMJ	p1600	7577438
AF368034.1	2203	1292	156	10.676084	9.34518	Ndelle virus segment M2, complete sequence	179877	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 4 Ndelle	Mammalian orthoreovirus 4 Ndelle	NFTLMJ	p1600	7577438
