STATE_NAME,NAMELSAD,lat,lon,geometry,
North Carolina,Alamance County,36.04356371,-79.39942581,c(-79.3994258097752, 36.0435637138162)
Kansas,Greenwood County,37.87755593,-96.23270013,c(-96.2327001334123, 37.877555926586)
Massachusetts,Suffolk County,42.34872808,-70.98570797,c(-70.9857079721387, 42.3487280822657)
Idaho,Jefferson County,43.82012067,-112.3110269,c(-112.311026874711, 43.8201206704848)
Texas,Gonzales County,29.45661479,-97.49275698,c(-97.4927569755999, 29.45661479032)
Tennessee,Marion County,35.12931726,-85.62201651,c(-85.6220165053226, 35.1293172612941)
Michigan,Alpena County,45.03168319,-83.16518108,c(-83.1651810784968, 45.0316831929717)
Kentucky,Wayne County,36.80119393,-84.82869043,c(-84.8286904332768, 36.8011939277622)
Tennessee,White County,35.92633726,-85.45515019,c(-85.4551501861105, 35.9263372615664)
Texas,Fannin County,33.59369868,-96.1069574,c(-96.1069574031034, 33.5936986795131)
Kansas,Doniphan County,39.7880534,-95.14674448,c(-95.1467444798793, 39.7880534043134)
Texas,Kerr County,30.06156665,-99.34989993,c(-99.3498999276251, 30.0615666515153)
Florida,Hernando County,28.55758359,-82.52818076,c(-82.5281807648386, 28.557583587431)
Florida,Wakulla County,30.09465953,-84.34904669,c(-84.3490466857291, 30.0946595280306)
Florida,Walton County,30.5707624,-86.1743778,c(-86.1743778019943, 30.5707623962084)
Mississippi,Chickasaw County,33.92076621,-88.94792792,c(-88.9479279159113, 33.9207662079827)
Michigan,Clare County,43.98780688,-84.84785963,c(-84.8478596256803, 43.987806883994)
Kansas,Republic County,39.82776276,-97.65062252,c(-97.6506225176971, 39.8277627643748)
Florida,Volusia County,29.06332891,-81.14821712,c(-81.1482171173338, 29.0633289128373)
Oklahoma,Canadian County,35.54244414,-97.98235617,c(-97.9823561707766, 35.5424441417347)
Georgia,Floyd County,34.26306841,-85.21437969,c(-85.2143796898049, 34.2630684127848)
Nevada,Churchill County,39.58077278,-118.3357199,c(-118.335719948598, 39.5807727791444)
Nebraska,Webster County,40.17635795,-98.49994725,c(-98.4999472461603, 40.1763579472593)
Illinois,Hancock County,40.40363356,-91.1647957,c(-91.1647957038115, 40.4036335635377)
South Dakota,Hutchinson County,43.33487975,-97.75440886,c(-97.7544088635354, 43.3348797480919)
Oregon,Crook County,44.14207872,-120.3556366,c(-120.355636593109, 44.1420787204692)
Vermont,Franklin County,44.85763702,-72.91334452,c(-72.9133445225205, 44.8576370239455)
Michigan,Marquette County,46.66125125,-87.57329767,c(-87.5732976719174, 46.6612512544928)
Connecticut,Middlesex County,41.43521571,-72.52293571,c(-72.5229357117202, 41.4352157111232)
North Carolina,Davidson County,35.79316782,-80.21270892,c(-80.2127089171337, 35.7931678241958)
Illinois,Clay County,38.75412773,-88.49021289,c(-88.4902128883533, 38.7541277302946)
Missouri,Knox County,40.12816047,-92.14806833,c(-92.1480683335244, 40.1281604689642)
Missouri,Livingston County,39.78201474,-93.54823917,c(-93.5482391711281, 39.7820147365861)
Pennsylvania,Tioga County,41.77209623,-77.25424216,c(-77.2542421556766, 41.772096226477)
Nebraska,Dakota County,42.39107843,-96.56448802,c(-96.5644880244213, 42.3910784250298)
Michigan,Leelanau County,45.15120484,-86.03880091,c(-86.0388009121617, 45.1512048446025)
Virginia,Surry County,37.1169165,-76.88831177,c(-76.8883117687719, 37.1169164952315)
Texas,Refugio County,28.32155866,-97.15969931,c(-97.1596993105049, 28.3215586596899)
Ohio,Butler County,39.43862241,-84.57563672,c(-84.5756367158561, 39.4386224056705)
Georgia,Terrell County,31.77683228,-84.43689297,c(-84.4368929708185, 31.7768322802717)
Georgia,Clayton County,33.54184989,-84.3576649,c(-84.3576648982464, 33.5418498908728)
Wyoming,Fremont County,43.03952533,-108.6255835,c(-108.625583540584, 43.0395253264118)
Indiana,Ohio County,38.95010798,-84.96506487,c(-84.9650648680875, 38.9501079753597)
Georgia,Columbia County,33.54408439,-82.26407375,c(-82.2640737498997, 33.5440843871901)
Colorado,Sedgwick County,40.87595418,-102.3517903,c(-102.351790286086, 40.875954175139)
Montana,Musselshell County,46.49650525,-108.3982582,c(-108.398258182354, 46.4965052524064)
Pennsylvania,Dauphin County,40.41521886,-76.77940902,c(-76.7794090200618, 40.415218855018)
South Dakota,Moody County,44.02191052,-96.67092247,c(-96.6709224659767, 44.0219105211741)
West Virginia,Putnam County,38.50851575,-81.90909917,c(-81.9090991728691, 38.5085157548302)
New Jersey,Sussex County,41.13921272,-74.69092418,c(-74.6909241799377, 41.1392127152015)
Kansas,Decatur County,39.78464069,-100.4599008,c(-100.459900768396, 39.7846406890531)
Indiana,Perry County,38.0795305,-86.63803326,c(-86.638033261037, 38.0795305000932)
Mississippi,Union County,34.49050497,-89.00387074,c(-89.0038707419506, 34.4905049668218)
Nebraska,Boyd County,42.89994478,-98.76625882,c(-98.7662588205709, 42.8999447840186)
Minnesota,Mille Lacs County,45.93736469,-93.63014806,c(-93.6301480633812, 45.9373646868848)
North Dakota,Walsh County,48.36975079,-97.72128976,c(-97.7212897605832, 48.3697507945252)
Ohio,Morgan County,39.62032806,-81.85270066,c(-81.8527006568404, 39.6203280574791)
Ohio,Portage County,41.16757338,-81.19740346,c(-81.1974034585244, 41.1675733815822)
Wyoming,Uinta County,41.28741675,-110.5475578,c(-110.54755781544, 41.2874167500119)
Nevada,Humboldt County,41.4069279,-118.1109259,c(-118.110925881704, 41.4069279010852)
Texas,Jim Hogg County,27.04325397,-98.69728574,c(-98.6972857382773, 27.0432539724931)
Colorado,Cheyenne County,38.82817138,-102.6034141,c(-102.603414077854, 38.8281713778552)
Oregon,Clackamas County,45.18798342,-122.2206819,c(-122.220681916462, 45.1879834169544)
Arkansas,Polk County,34.48564366,-94.22828539,c(-94.2282853873146, 34.4856436566409)
Georgia,Macon County,32.35835117,-84.04252017,c(-84.0425201664579, 32.3583511718012)
Indiana,Benton County,40.60624041,-87.31090386,c(-87.3109038554002, 40.6062404093554)
Tennessee,Morgan County,36.13496534,-84.64907223,c(-84.649072232267, 36.1349653357293)
South Dakota,Douglas County,43.38696241,-98.36595442,c(-98.3659544219034, 43.386962410083)
Maryland,Worcester County,38.21639823,-75.29694864,c(-75.2969486359007, 38.2163982261264)
Illinois,Wabash County,38.44603302,-87.84435572,c(-87.8443557159021, 38.4460330156096)
Indiana,Huntington County,40.82911915,-85.48817154,c(-85.4881715380871, 40.8291191519617)
Kentucky,Scott County,38.29148462,-84.5839391,c(-84.5839390990225, 38.2914846191989)
Iowa,Decatur County,40.73762908,-93.78628647,c(-93.7862864712409, 40.7376290832017)
Indiana,Wabash County,40.84553602,-85.79399146,c(-85.7939914641796, 40.8455360227886)
Indiana,Allen County,41.09081901,-85.06658264,c(-85.066582639886, 41.0908190135945)
Indiana,Marshall County,41.32478943,-86.26176136,c(-86.2617613621671, 41.3247894316733)
Nebraska,Thomas County,41.91354913,-100.5558819,c(-100.555881909238, 41.9135491292812)
North Dakota,Sioux County,46.11293502,-101.041183,c(-101.041182969862, 46.1129350194105)
Texas,Dimmit County,28.42253847,-99.75672481,c(-99.7567248064368, 28.4225384651226)
Minnesota,Fillmore County,43.67402559,-92.09017468,c(-92.090174676863, 43.6740255866214)
South Carolina,Chester County,34.69209856,-81.15949801,c(-81.1594980094727, 34.6920985640819)
Minnesota,Lac qui Parle County,44.99538534,-96.17325538,c(-96.1732553843039, 44.9953853413033)
Utah,Cache County,41.72212425,-111.7434335,c(-111.743433473467, 41.7221242519111)
Wisconsin,Pierce County,44.7194059,-92.42236335,c(-92.4223633508571, 44.7194058976696)
Georgia,Charlton County,30.78141015,-82.13764774,c(-82.1376477379468, 30.7814101521652)
Georgia,Polk County,34.00181599,-85.1881757,c(-85.1881756969771, 34.0018159855913)
Illinois,McLean County,40.49085693,-88.84740662,c(-88.8474066190757, 40.4908569304114)
Maine,Androscoggin County,44.1655762,-70.20648411,c(-70.2064841108505, 44.165576200388)
Idaho,Kootenai County,47.67399464,-116.701739,c(-116.701738954137, 47.6739946405933)
Nevada,Clark County,36.21376422,-115.0136658,c(-115.0136658148, 36.2137642188525)
Kansas,Phillips County,39.78446711,-99.34702352,c(-99.3470235183183, 39.7844671058742)
Nebraska,Holt County,42.45530039,-98.78368281,c(-98.7836828094634, 42.4553003903083)
Missouri,Johnson County,38.74406811,-93.80638712,c(-93.806387122403, 38.744068113837)
Wisconsin,La Crosse County,43.90647419,-91.11516314,c(-91.115163135887, 43.9064741895899)
Louisiana,Caldwell Parish,32.09232086,-92.11654213,c(-92.1165421302072, 32.0923208627193)
Kentucky,Edmonson County,37.20882002,-86.23855258,c(-86.2385525844491, 37.2088200249567)
Illinois,Bond County,38.88678132,-89.43553119,c(-89.4355311937532, 38.8867813235765)
Illinois,Brown County,39.9617294,-90.75031581,c(-90.750315813441, 39.9617293955605)
Minnesota,McLeod County,44.82349354,-94.27252216,c(-94.2725221555344, 44.8234935413563)
Wisconsin,Dunn County,44.94626957,-91.89637768,c(-91.8963776786411, 44.9462695653265)
Colorado,Custer County,38.10869066,-105.3674051,c(-105.367405124202, 38.1086906633392)
Missouri,Madison County,37.47803434,-90.34502835,c(-90.34502834619, 37.4780343430568)
Texas,Nolan County,32.30339779,-100.4060537,c(-100.406053680592, 32.3033977935828)
Pennsylvania,Wayne County,41.6483345,-75.30326543,c(-75.3032654344926, 41.6483345019385)
New York,Saratoga County,43.10711302,-73.86370083,c(-73.8637008291025, 43.1071130219883)
Texas,Brazos County,30.66062029,-96.30232158,c(-96.3023215846831, 30.6606202911519)
Oklahoma,Marshall County,34.02446195,-96.76911375,c(-96.7691137519869, 34.0244619504621)
Maryland,Allegany County,39.62157431,-78.69769482,c(-78.697694822197, 39.6215743138897)
West Virginia,Wetzel County,39.60524723,-80.63908035,c(-80.6390803504567, 39.6052472292967)
Wisconsin,Jackson County,44.3191855,-90.8049783,c(-90.8049783026084, 44.319185500553)
Oregon,Clatsop County,46.01735067,-123.716897,c(-123.71689698453, 46.0173506738818)
Washington,Lewis County,46.57896363,-122.3926163,c(-122.392616252679, 46.5789636264119)
New York,Allegany County,42.25714062,-78.0275309,c(-78.0275308988436, 42.2571406180755)
Iowa,Cedar County,41.77224727,-91.13242247,c(-91.132422468474, 41.7722472660076)
Indiana,Orange County,38.54172989,-86.4950695,c(-86.4950694994128, 38.5417298916297)
Georgia,DeKalb County,33.77149607,-84.22637947,c(-84.2263794717, 33.7714960709801)
Georgia,Pickens County,34.4643367,-84.4656109,c(-84.4656108950052, 34.4643366973625)
Montana,Chouteau County,47.88063655,-110.4354436,c(-110.435443606707, 47.8806365529342)
Nebraska,Brown County,42.42947933,-99.92938927,c(-99.9293892741844, 42.4294793296854)
Tennessee,Campbell County,36.40343168,-84.1494571,c(-84.1494571031905, 36.4034316844741)
North Carolina,Franklin County,36.08271928,-78.28574399,c(-78.2857439931873, 36.0827192823853)
Maryland,Baltimore city,39.30096329,-76.61062863,c(-76.6106286345703, 39.3009632915404)
Kansas,Lyon County,38.45587445,-96.15264749,c(-96.1526474875575, 38.4558744492576)
Iowa,Carroll County,42.03615297,-94.86055442,c(-94.8605544218922, 42.0361529697644)
Louisiana,Tensas Parish,32.00164543,-91.34024748,c(-91.3402474823561, 32.0016454267771)
Tennessee,Monroe County,35.44255572,-84.25272438,c(-84.2527243836161, 35.4425557221814)
Kansas,Hamilton County,37.99892781,-101.7912467,c(-101.791246671642, 37.9989278116041)
Iowa,Pocahontas County,42.73405151,-94.67874595,c(-94.6787459456902, 42.7340515111839)
Idaho,Gem County,44.0609892,-116.3981822,c(-116.398182194192, 44.0609891968404)
Arkansas,Independence County,35.74152268,-91.5696948,c(-91.5696948002367, 35.7415226778677)
Arkansas,Lonoke County,34.75402042,-91.88865377,c(-91.8886537706938, 34.7540204245097)
Indiana,Newton County,40.95562295,-87.39754252,c(-87.3975425164954, 40.9556229452628)
Georgia,Franklin County,34.37537068,-83.22909567,c(-83.2290956697236, 34.3753706803052)
Florida,Hendry County,26.55334643,-81.16576797,c(-81.1657679732017, 26.5533464338045)
Georgia,Taliaferro County,33.56607111,-82.87876873,c(-82.8787687327882, 33.5660711147305)
Texas,Jefferson County,29.85356594,-94.15335503,c(-94.1533550266406, 29.8535659413957)
Montana,Meagher County,46.59776498,-110.8841518,c(-110.884151821981, 46.5977649829205)
Colorado,La Plata County,37.28635087,-107.843564,c(-107.843563976125, 37.2863508688359)
Texas,Bell County,31.03733986,-97.4787565,c(-97.4787565033871, 31.0373398587795)
Mississippi,Kemper County,32.75454282,-88.64117537,c(-88.6411753655339, 32.7545428164372)
Arkansas,Clark County,34.05080181,-93.17611694,c(-93.1761169386302, 34.0508018113761)
Oregon,Klamath County,42.68371317,-121.6492136,c(-121.649213579916, 42.6837131739546)
New York,Oswego County,43.46382498,-76.20868778,c(-76.2086877817785, 43.4638249841893)
Alabama,Cherokee County,34.17579438,-85.60380351,c(-85.6038035065008, 34.1757943774697)
Texas,Bandera County,29.74731581,-99.24613706,c(-99.2461370642277, 29.747315809097)
Montana,Rosebud County,46.22635192,-106.7276166,c(-106.727616566188, 46.2263519194896)
New Mexico,Union County,36.4806842,-103.4704423,c(-103.470442341691, 36.4806841957474)
Michigan,Schoolcraft County,46.04142871,-86.1772587,c(-86.1772587003464, 46.0414287065856)
New York,Ulster County,41.88794668,-74.25837362,c(-74.2583736218613, 41.8879466801975)
New Jersey,Camden County,39.80345807,-74.95956743,c(-74.9595674271161, 39.8034580702002)
Illinois,Jersey County,39.08546793,-90.35652072,c(-90.3565207215079, 39.0854679280953)
Virginia,Hanover County,37.76008905,-77.49063694,c(-77.490636942149, 37.7600890492643)
Kansas,Wallace County,38.91655217,-101.7635789,c(-101.763578870278, 38.9165521656831)
Michigan,Alger County,46.94601876,-86.57216678,c(-86.5721667762299, 46.9460187567163)
Arkansas,Fulton County,36.38175013,-91.81828357,c(-91.8182835661376, 36.3817501323566)
Texas,Hidalgo County,26.39650848,-98.18102401,c(-98.181024010852, 26.3965084775741)
North Carolina,Robeson County,34.64009685,-79.10386974,c(-79.1038697372768, 34.6400968490531)
Michigan,Newaygo County,43.55387425,-85.80091866,c(-85.8009186648019, 43.5538742488726)
Oregon,Morrow County,45.41822854,-119.5836667,c(-119.583666706554, 45.4182285382969)
Minnesota,Todd County,46.07018655,-94.897573,c(-94.8975730003088, 46.0701865501283)
Arkansas,Logan County,35.21496655,-93.71688372,c(-93.7168837152584, 35.2149665532989)
North Carolina,Lincoln County,35.48567353,-81.22349932,c(-81.2234993219457, 35.4856735345478)
Arkansas,Miller County,33.31222549,-93.89212269,c(-93.8921226935178, 33.3122254890241)
Florida,Orange County,28.51451655,-81.32336476,c(-81.323364758355, 28.5145165463977)
Colorado,San Juan County,37.76400973,-107.6762281,c(-107.676228071647, 37.7640097270287)
Idaho,Franklin County,42.18096906,-111.8132961,c(-111.813296089647, 42.1809690600587)
Georgia,Carroll County,33.58276148,-85.07982146,c(-85.0798214641572, 33.5827614752493)
Kansas,Riley County,39.29631735,-96.73483776,c(-96.7348377621718, 39.2963173477386)
Texas,Schleicher County,30.89755637,-100.5385534,c(-100.538553437244, 30.8975563652731)
Virginia,Russell County,36.93386821,-82.09558956,c(-82.0955895610742, 36.9338682066084)
North Carolina,Caldwell County,35.95299661,-81.54634096,c(-81.5463409622618, 35.9529966068306)
Idaho,Madison County,43.78415955,-111.6590662,c(-111.65906619212, 43.7841595488656)
Indiana,Warrick County,38.0921294,-87.27214234,c(-87.2721423391869, 38.0921294012932)
Kentucky,Adair County,37.10409782,-85.28079385,c(-85.2807938505501, 37.1040978206171)
Kentucky,Gallatin County,38.75686824,-84.8592613,c(-84.8592612969724, 38.7568682371765)
Kentucky,Harrison County,38.44177397,-84.33141544,c(-84.3314154377159, 38.4417739657603)
Maine,Sagadahoc County,43.91142156,-69.83912005,c(-69.8391200459532, 43.9114215575945)
Montana,Sweet Grass County,45.81292917,-109.9414223,c(-109.941422277559, 45.8129291672199)
Texas,Grayson County,33.62670649,-96.6776349,c(-96.6776348987223, 33.6267064861952)
Pennsylvania,Greene County,39.85383003,-80.22286407,c(-80.2228640657854, 39.8538300285865)
Kansas,Ellis County,38.91463779,-99.31723773,c(-99.3172377295261, 38.9146377939699)
Alabama,Hale County,32.76247312,-87.62918271,c(-87.6291827134395, 32.7624731236997)
Alabama,Perry County,32.63835998,-87.29455118,c(-87.2945511804768, 32.6383599846519)
Alabama,Colbert County,34.70053214,-87.80493963,c(-87.8049396277638, 34.7005321430063)
Kansas,Pratt County,37.64770067,-98.7395951,c(-98.7395950961441, 37.6477006724716)
Kentucky,Bourbon County,38.20671263,-84.21713015,c(-84.2171301465558, 38.2067126340024)
Tennessee,Rutherford County,35.84262778,-86.41671496,c(-86.416714961435, 35.8426277788896)
Georgia,Cook County,31.15394319,-83.43044761,c(-83.4304476108442, 31.1539431875571)
Kansas,Lane County,38.48115297,-100.4663925,c(-100.466392494113, 38.4811529725568)
Oklahoma,Harper County,36.78879118,-99.66733431,c(-99.6673343073751, 36.7887911838362)
Illinois,Piatt County,40.01012438,-88.59115785,c(-88.5911578483141, 40.0101243812639)
Texas,Crosby County,33.61453221,-101.2999572,c(-101.29995721165, 33.6145322067674)
Alabama,Greene County,32.85294762,-87.95219326,c(-87.9521932580202, 32.8529476190902)
Idaho,Clark County,44.28405968,-112.3521439,c(-112.352143938058, 44.2840596793069)
Iowa,Kossuth County,43.20373244,-94.20672037,c(-94.2067203669039, 43.2037324412836)
North Dakota,Burke County,48.79093372,-102.5183317,c(-102.518331668303, 48.7909337168673)
North Carolina,Durham County,36.03592007,-78.87659816,c(-78.8765981566968, 36.0359200672948)
Iowa,Harrison County,41.68279978,-95.81687343,c(-95.8168734281718, 41.6827997766821)
Nebraska,Keya Paha County,42.8790345,-99.71230204,c(-99.7123020436973, 42.8790344991323)
Iowa,Webster County,42.42777181,-94.18169366,c(-94.1816936585689, 42.4277718119033)
Illinois,Pope County,37.41252106,-88.56153567,c(-88.561535667654, 37.4125210567086)
Tennessee,Smith County,36.25046834,-85.95671645,c(-85.9567164499885, 36.2504683449919)
Virginia,Henry County,36.68274868,-79.87396708,c(-79.8739670750868, 36.6827486835639)
Virginia,Alexandria city,38.81845459,-77.08620291,c(-77.0862029147706, 38.8184545934315)
Iowa,Jefferson County,41.03175191,-91.94887338,c(-91.9488733834267, 41.0317519134342)
Montana,Lewis and Clark County,47.12105227,-112.3873225,c(-112.387322483932, 47.1210522736226)
Utah,Duchesne County,40.29737252,-110.425275,c(-110.425274992666, 40.2973725192372)
Oklahoma,Alfalfa County,36.73074303,-98.32396781,c(-98.3239678144817, 36.7307430319484)
Texas,Delta County,33.38632713,-95.67231538,c(-95.6723153827044, 33.3863271307436)
Tennessee,Trousdale County,36.39204516,-86.15675564,c(-86.1567556350331, 36.3920451563154)
Kentucky,Perry County,37.24421217,-83.22129616,c(-83.2212961562162, 37.2442121676445)
South Dakota,Deuel County,44.75985575,-96.66797605,c(-96.6679760455728, 44.7598557504918)
Oregon,Jackson County,42.43146566,-122.7289397,c(-122.728939720116, 42.4314656595202)
Texas,Zavala County,28.8662038,-99.76059331,c(-99.7605933113363, 28.8662038003559)
Nebraska,Banner County,41.54598828,-103.7104625,c(-103.710462460547, 41.5459882775474)
Iowa,Madison County,41.3306339,-94.0155657,c(-94.0155657006424, 41.3306338964761)
Florida,Broward County,26.15223172,-80.46046155,c(-80.4604615522986, 26.1522317249893)
Georgia,Toombs County,32.12162014,-82.33129131,c(-82.3312913128169, 32.1216201365137)
Michigan,Sanilac County,43.44324183,-82.6458745,c(-82.6458744963287, 43.4432418320622)
Texas,Rockwall County,32.89784157,-96.40788358,c(-96.4078835822686, 32.8978415671289)
Michigan,Wayne County,42.28469384,-83.26135143,c(-83.2613514298981, 42.2846938400569)
Minnesota,Nobles County,43.67420201,-95.75338724,c(-95.7533872433547, 43.6742020120391)
Minnesota,Aitkin County,46.60731826,-93.4154045,c(-93.4154045034742, 46.6073182595464)
North Dakota,Ramsey County,48.26871998,-98.72027977,c(-98.720279772915, 48.2687199844708)
North Carolina,Person County,36.39003899,-78.97181059,c(-78.9718105937442, 36.3900389868146)
Kansas,Trego County,38.91421201,-99.87274207,c(-99.8727420657237, 38.914212005837)
Mississippi,Washington County,33.28364063,-90.94730347,c(-90.9473034715106, 33.283640632836)
Texas,Eastland County,32.32705101,-98.83245152,c(-98.8324515163634, 32.3270510101907)
Mississippi,Issaquena County,32.74116057,-90.98901807,c(-90.9890180672428, 32.7411605745596)
Texas,DeWitt County,29.08205727,-97.35695187,c(-97.3569518714631, 29.0820572704834)
Texas,Angelina County,31.25477579,-94.61157897,c(-94.6115789712227, 31.2547757938247)
South Carolina,Saluda County,34.00604598,-81.72677494,c(-81.7267749441255, 34.0060459750343)
Missouri,Maries County,38.16166484,-91.92491108,c(-91.924911084993, 38.1616648375873)
Arkansas,Arkansas County,34.289021,-91.37402103,c(-91.3740210323717, 34.2890209965941)
Missouri,Lawrence County,37.10628018,-93.83293492,c(-93.8329349206982, 37.1062801795168)
Virginia,Charlottesville city,38.03748978,-78.48550179,c(-78.4855017887591, 38.0374897837079)
Illinois,Bureau County,41.40411588,-89.52872974,c(-89.5287297425187, 41.4041158834782)
Ohio,Scioto County,38.8039126,-82.99283349,c(-82.9928334867108, 38.8039125978918)
North Carolina,Madison County,35.85801975,-82.70583825,c(-82.7058382543067, 35.8580197505892)
Idaho,Jerome County,42.68995881,-114.2637317,c(-114.263731663786, 42.6899588068718)
Ohio,Vinton County,39.25095719,-82.4852649,c(-82.4852648954897, 39.2509571905557)
Texas,McLennan County,31.55232749,-97.20191635,c(-97.2019163516798, 31.5523274851656)
Idaho,Custer County,44.24097016,-114.279851,c(-114.27985100606, 44.2409701566448)
Iowa,Howard County,43.35673532,-92.31720037,c(-92.3172003678627, 43.3567353153658)
Florida,Palm Beach County,26.64750834,-80.43652205,c(-80.4365220463657, 26.647508335436)
Georgia,Lincoln County,33.79362484,-82.45110868,c(-82.4511086832924, 33.7936248389505)
Alabama,Butler County,31.75233224,-86.68030103,c(-86.6803010312731, 31.752332239654)
Tennessee,Sumner County,36.46934998,-86.46048364,c(-86.4604836449462, 36.4693499759516)
Virginia,King and Queen County,37.71850266,-76.89481479,c(-76.8948147932747, 37.7185026638966)
Arkansas,Carroll County,36.34103842,-93.53802321,c(-93.5380232084403, 36.3410384226001)
Virginia,Waynesboro city,38.06741563,-78.9013553,c(-78.9013553029462, 38.0674156327752)
